"","parameter_name","f_n","m_n","f_intercept","f_intercept_se","f_slope","f_slope_se","m_intercept","m_intercept_se","m_slope","m_slope_se","fm_diff_int","fm_diff_int_se","fm_diff_int_p","fm_diff_slope","fm_diff_slope_se","fm_diff_slope_p","group_sd","f_sd","m_sd","Category","parameter_group","lnVR","VlnVR","low_lnVR","high_lnVR","t_val_sd","p_val_sd","Scen"
"142","pr",6520,6465,0.948835586,0.589508433,9.08e-05,0.085840349,0.913786708,0.589504643,0.274179728,0.076292782,0.035048878,0.011590151,0.002499255,-0.274088937,0.111667173,0.014120454,1.862926567,0.673737589,0.646714905,"Heart","pr",0.0409344927013762,0.000154050365344864,0.040632559533495,0.0412364258692573,3.29805615720738,0.000976184052376095,"C"
"143","qrs",6518,6464,0.472296761,0.388788218,-0.964584373,0.102071978,0.395001329,0.388801156,-0.43882328,0.098016984,0.077295432,0.01432063,6.88e-08,-0.525761094,0.137573202,0.000133163,1.226582103,0.798573682,0.832479813,"Heart","qrs",-0.0415823750326238,0.000154085871795189,-0.0418843777918688,-0.0412803722733788,-3.34986944138546,0.000810800114390053,"C"
"144","rmssd",4059,4044,0.143384653,0.06766179,-2.118439429,0.158603627,-0.031885043,0.067812717,-0.944549897,0.148078525,0.175269696,0.021742074,8.63e-16,-1.173889532,0.21650976,6.07e-08,0.129522749,0.964557559,0.992287075,"Heart","rmssd",-0.0283434045583689,0.000246883947295504,-0.0288272882034292,-0.0278595209133086,-1.80387146853221,0.0712885915215065,"C"
"145","rr",6520,6465,1.09940534,0.658399213,-0.631525467,0.051984809,1.034294595,0.658397718,-0.382947178,0.045899839,0.065110745,0.006997161,1.55e-20,-0.248578289,0.067431893,0.000228411,2.081628372,0.408118321,0.389009883,"Heart","rr",0.0479517327422264,0.000154050365344864,0.0476497995743452,0.0482536659101076,3.86342902971767,0.000112349835798664,"C"
"146","eosinophils",1086,1076,-0.014707897,0.22970573,-0.684834605,0.276686459,-0.108025868,0.229904171,0.233953991,0.261812665,0.093317971,0.034938982,0.007622147,-0.918788596,0.341663715,0.007218474,0.603120064,0.788268352,0.834964759,"Hematology","eosinophils",-0.0575552258479267,0.000925945772157325,-0.0593700462129922,-0.0557404054828612,-1.89143745959248,0.0586996461382299,"C"
"147","hematocrit",10122,10015,-0.176999512,0.1430924,-0.039681337,0.067936548,-0.058276754,0.143169533,0.179408232,0.0790642,-0.118722757,0.010530924,2.17e-29,-0.219089569,0.093447548,0.019061315,0.942302184,0.659391886,0.824089902,"Hematology","hematocrit",-0.222962130755787,9.93323308439225e-05,-0.223156818546742,-0.222767442964833,-22.3710203523755,0,"C"
"148","large unstained cell (luc) count",3168,3252,-0.175587819,0.11574774,0.070098284,0.178880362,0.408083154,0.115803951,0.925634592,0.173959966,-0.583670973,0.021285727,1.3e-156,-0.855536308,0.217413471,8.41e-05,0.441302492,0.833588686,0.86827407,"Hematology","luc",-0.0407632359329536,0.000311676949221716,-0.0413741115282395,-0.0401523603376677,-2.30895947424371,0.0209774394021869,"C"
"149","lymphocyte differential count",4876,4812,0.13875554,0.10037951,-0.16824771,0.098907046,-0.063642957,0.101105944,-0.669470468,0.147216428,0.202398497,0.017314702,2.35e-31,0.501222757,0.161241219,0.001885684,0.484695003,0.605641252,1.038554748,"Hematology","lymphocytes",-0.539298907292303,0.000206492599758033,-0.539703625350903,-0.538894189233704,-37.5298902405558,0,"C"
"150","monocytes",1045,1040,-0.113310686,0.130099854,-0.974170243,0.327897269,0.017509884,0.130522801,1.183874297,0.308963242,-0.13082057,0.041520831,0.001651899,-2.15804454,0.403948442,1.02e-07,0.332845941,0.924305551,0.970450901,"Hematology","monocytes",-0.0487204147537264,0.000960159156866867,-0.0506022921206118,-0.046838537386841,-1.57231429434283,0.116029550259904,"C"
"151","neutrophil differential count",4824,4786,-0.078138831,0.126842477,0.022536486,0.115763105,0.059707737,0.126976749,0.546681454,0.124838724,-0.137846568,0.015937866,6.03e-18,-0.524144968,0.150695921,0.000507105,0.626005915,0.723194546,0.83338652,"Hematology","neutrophils",-0.14182009987724,0.000208163122932154,-0.142228092101096,-0.141412107653383,-9.82960100216587,0,"C"
"152","platelet count",10074,9980,-0.481904652,0.113496127,0.17726329,0.076595566,0.129838616,0.113522432,-0.350120651,0.078585281,-0.611743268,0.010970532,0,0.527383941,0.097876979,7.2e-08,0.743337078,0.75120606,0.800291662,"Hematology","platelet count",-0.0632967113473068,9.97428661541366e-05,-0.0634922037726837,-0.0631012189219299,-6.33782472574561,2.37996067298241e-10,"C"
"153","red blood cell distribution width",7897,7820,0.185287887,0.205442876,-0.297129595,0.030650437,0.284610689,0.205451614,0.020540403,0.038979177,-0.099322802,0.004641084,3.54e-100,-0.317669998,0.048022385,3.83e-11,1.179282332,0.258157722,0.319675475,"Hematology","red blood cell distribution width",-0.213736240455224,0.000127269997886581,-0.213985685067394,-0.213486795843054,-18.9458959384935,0,"C"
"154","dn cd25- nkt cells",600,592,-0.213974436,0.400546279,0.959031017,0.413670263,-0.33335208,0.400370571,-0.194001912,0.350504728,0.119377644,0.047849722,0.012736514,1.153032928,0.522925218,0.027647936,0.797407785,0.854634579,0.796690282,"Immunology","dn nkt",0.0701966869521946,0.00168074822956479,0.0669024809551681,0.073490892949221,1.71224254559003,0.0871125060791464,"C"
"155","area under glucose response curve",11545,11477,-0.654329629,0.099877452,0.058157227,0.072918905,0.308239308,0.09984456,1.295889246,0.06836844,-0.962568936,0.010519253,0,-1.237732019,0.09206327,4.75e-41,0.358463144,0.82220764,0.773075395,"Metabolism","area under glucose response curve",0.0616161305122633,8.68817311828814e-05,0.0614458454482303,0.0617864155762962,6.61043726794222,3.91573440339243e-11,"C"
"156","fasted blood glucose concentration",11605,11557,-0.297903793,0.174547283,0.954751912,0.065068209,-0.030437546,0.174541808,1.8891125,0.063004971,-0.267466247,0.009537434,3.32e-170,-0.934360588,0.083352101,4.34e-29,0.628576183,0.733836844,0.717455001,"Metabolism","fasted blood glucose concentration",0.022576312259951,8.63561567733832e-05,0.0224070573028319,0.0227455672170701,2.42944096512908,0.0151296788538042,"C"
"157","glucose",9540,9506,-0.360389413,0.197513339,0.141665801,0.044014169,-0.200352225,0.19751728,0.656465664,0.041583082,-0.160037189,0.00613332,1.71e-147,-0.514799863,0.051654065,2.44e-23,1.148661814,0.42526935,0.420896007,"Metabolism","glucose",0.0103367564718656,0.00010502028853668,0.0101309204886877,0.0105425924550435,1.00866669481459,0.313147324940104,"C"
"158","initial response to glucose challenge",11582,11527,-0.303689492,0.077686436,-0.399165016,0.08204709,0.063742829,0.077687534,0.005471561,0.081078082,-0.367432321,0.012147036,3.78e-197,-0.404636578,0.106201956,0.000139289,0.277379127,0.923486332,0.922848727,"Metabolism","initial response to glucose challenge",0.000690464963943303,8.65543485118953e-05,0.00052082155815466,0.000860108369731945,0.0742159413337278,0.940839203904704,"C"
"159","insulin",1277,1300,-0.113875059,0.182972868,1.537549148,0.219476863,0.449302874,0.182622858,2.954195003,0.181901579,-0.563177933,0.028651316,3.04e-80,-1.416645855,0.271728173,2e-07,0.479165371,0.775569242,0.674153542,"Metabolism","insulin",0.140146311511977,0.000776761000142381,0.138623887927102,0.141668735096851,5.02849434421613,5.28329210824907e-07,"C"
"160","total water intake",1155,2650,-0.289030668,0.27138677,0.235378669,0.050561556,-0.316333966,0.271353619,-0.019487658,0.023365458,0.027303298,0.005605962,1.16e-06,0.254866326,0.050491357,4.68e-07,0.899928745,0.154616758,0.102635355,"Metabolism","total water intake",0.410011587208358,0.000622026035134412,0.408792438582048,0.411230735834667,16.4396228157932,0,"C"
"161","bmc/body weight",10931,10961,0.159048204,0.455599162,-1.912441581,0.062457346,-0.690779246,0.455601757,-2.758518028,0.062270165,0.84982745,0.00911943,0,0.846076447,0.086823139,2.16e-22,1.365945666,0.662903697,0.686137317,"Morphology","bmc/body weight",-0.0344479267902607,9.13660921190589e-05,-0.0346270010402223,-0.0342688525402992,-3.60388201607017,0.000314194710195892,"C"
"162","body length",8493,8504,-0.043951269,0.168775124,5.592603699,0.074157378,0.319098365,0.168796823,4.853544276,0.071862858,-0.363049632,0.011421926,2.01e-215,0.739059423,0.101263185,3.04e-13,0.520424777,0.743292749,0.745554188,"Morphology","body length",-0.00303776564353384,0.000117681720380311,-0.00326841757711797,-0.00280711370994972,-0.280026905835804,0.779460270580349,"C"
"163","bone area",10942,10964,-0.344509171,0.211109132,3.218617343,0.080861451,-0.048152194,0.211093085,2.359410923,0.074521387,-0.296356976,0.011349436,4.9e-148,0.859206421,0.108267266,2.19e-15,0.630501538,0.859319469,0.819861099,"Morphology","bone area",0.0470059181374666,9.13076158496849e-05,0.046826958498887,0.0471848777760462,4.9192516324587,8.75054366300532e-07,"C"
"164","bone mineral content (excluding skull)",10942,10964,-0.408729134,0.346532823,3.495039546,0.066291892,-0.154248905,0.346536409,2.60701701,0.065946508,-0.254480229,0.009667958,2.34e-150,0.888022536,0.092056461,5.63e-22,1.038342765,0.703827097,0.72684005,"Morphology","bone mineral content (excluding skull)",-0.0321736227230477,9.13076158496849e-05,-0.0323525823616273,-0.0319946630844681,-3.36702594851162,0.000761142360023115,"C"
"165","bone mineral density (excluding skull)",10943,10964,-0.17950734,0.424872773,1.320504666,0.046729665,-0.140234228,0.424880854,1.023380623,0.051510507,-0.039273112,0.007210628,5.19e-08,0.297124042,0.068483533,1.44e-05,1.274065538,0.495574508,0.569135366,"Morphology","bone mineral density (excluding skull)",-0.138400508093076,9.13034393132361e-05,-0.138579459545795,-0.138221556640358,-14.4841867548464,0,"C"
"166","fat mass",11079,11063,-0.834048171,0.237977696,5.213775324,0.055157115,-0.155676173,0.23799417,4.467633096,0.059103847,-0.678371997,0.008349435,0,0.746142229,0.079440075,6.41e-21,0.822854631,0.585326223,0.65492441,"Morphology","fat mass",-0.112350551718841,9.03342838534624e-05,-0.112527603661763,-0.112173499775919,-11.820855445498,0,"C"
"167","fat/body weight",11068,11060,-0.728459288,0.287873984,3.613850196,0.06670786,-0.466417226,0.287893794,2.714526383,0.071456228,-0.262042062,0.010095968,2.47e-146,0.899323813,0.096053152,8.49e-21,0.995382975,0.707698798,0.791550499,"Morphology","fat mass",-0.111975134990203,9.03914065560594e-05,-0.112152298891565,-0.111797971088842,-11.7776331419725,0,"C"
"168","heart weight",10017,9926,-0.419165654,0.146169564,2.570105645,0.0662044,0.512932903,0.146215576,3.104464346,0.071755092,-0.932098557,0.010133713,0,-0.534358701,0.088928431,1.9e-09,0.582169459,0.66800415,0.759393983,"Morphology","heart weight",-0.128226796019524,0.000100297961548676,-0.128423376411882,-0.128030215627166,-12.8036188592928,0,"C"
"169","heart weight normalised against body weight",8098,8003,0.137145531,0.153490788,-2.667480719,0.072490111,-0.076689665,0.153546048,-2.254847617,0.077162811,0.213835196,0.011474922,1.07e-76,-0.412633102,0.095333633,1.51e-05,0.591721403,0.680510068,0.771712435,"Morphology","heart weight",-0.125770103235769,0.000124235644806225,-0.126013600625186,-0.125526605846353,-11.2837721555146,0,"C"
"170","lean mass",11080,11064,-0.971817828,0.151139224,3.801219149,0.043027588,0.19229735,0.151158477,4.210755758,0.047086163,-1.164115178,0.006592266,0,-0.409536609,0.062683209,6.57e-11,0.522082588,0.456533413,0.522087016,"Morphology","lean mass",-0.134172445355771,9.03261243034492e-05,-0.134349481306268,-0.133995409405273,-14.1174626386325,0,"C"
"171","lean/body weight",11069,11061,-0.54009704,0.2321667,-3.211352382,0.064099556,-0.638449899,0.232195749,-2.591240178,0.070513954,0.098352859,0.009850502,2e-23,-0.620112204,0.093645888,3.63e-11,0.802104059,0.679866034,0.78173279,"Morphology","lean mass",-0.139617244123716,9.03832366870982e-05,-0.139794392012429,-0.139440096235003,-14.6857157001331,0,"C"
"172","spleen weight",3364,3373,0.120960756,0.345512769,0.513499144,0.018291954,0.061419215,0.345520306,0.652374237,0.030839664,0.05954154,0.003163771,4.84e-77,-0.138875093,0.034739198,6.47e-05,1.145904842,0.089526904,0.160339648,"Morphology","spleen weight",-0.582754784992716,0.000296956729237897,-0.583336809486989,-0.582172760498442,-33.8173258830438,0,"C"
"173","tibia length",5728,5678,-0.799232684,0.995261521,1.884403831,0.104753864,-0.585646725,0.995268166,0.849293064,0.095453745,-0.213585959,0.012373345,6.28e-66,1.035110768,0.134119626,1.28e-14,4.448173281,0.650122341,0.670465301,"Morphology","tibia length",-0.0308121572909073,0.000175380432052862,-0.031155896621324,-0.0304684179604906,-2.32665257942692,0.0200011901663983,"C"
"174","alanine aminotransferase",8831,8789,-0.17268211,0.111735457,-0.76836059,0.094828307,0.099722421,0.111778022,-0.388848849,0.092393964,-0.27240453,0.013372315,3.42e-91,-0.37951174,0.118817772,0.001405316,0.596230514,0.878587487,0.895818617,"Physiology","alanine aminotransferase",-0.0194227372589929,0.000113520908517792,-0.01964523415118,-0.0192002403668058,-1.82294055250698,0.0683293342222013,"C"
"175","albumin",8839,8821,0.859951202,0.147711139,0.451765704,0.048729365,0.365512749,0.147760095,0.287533793,0.055672289,0.494438453,0.007572201,0,0.16423191,0.066645209,0.013738666,0.803901218,0.444778298,0.555000323,"Physiology","albumin",-0.221392859906703,0.000113263227898084,-0.221614851754156,-0.22117086805925,-20.8026730386398,0,"C"
"176","albumin to creatinine ratio",363,362,-0.486180312,0.106984911,-1.671699185,0.573080956,0.390156101,0.101951063,0.234191554,0.44492222,-0.876336413,0.066329868,7.71e-36,-1.90589074,0.7021811,0.006801709,0.127825269,0.992635243,0.781012852,"Physiology","albumin to creatinine ratio",0.239767836653733,0.0027662570208598,0.234346072520867,0.245189600786599,4.55873828421252,6.04188998076793e-06,"C"
"177","alkaline phosphatase",8779,8756,0.811874346,0.208943912,-1.058908254,0.037292314,-0.274137445,0.208954445,-0.837155204,0.038588054,1.086011791,0.005443731,0,-0.221753051,0.048199983,4.24e-06,1.14210141,0.342695524,0.37706691,"Physiology","alkaline phosphatase",-0.095580433636852,0.000114070806006241,-0.0958040083083117,-0.0953568589653923,-8.94914905028441,0,"C"
"178","alpha-amylase",5747,5767,-0.093946254,0.208941884,1.929624573,0.096262409,1.079484252,0.208958921,2.371951874,0.09974008,-1.173430506,0.012679258,0,-0.442327301,0.134030262,0.000969083,0.688151315,0.678119186,0.682212171,"Physiology","alpha-amylase",-0.00601734575488046,0.000173732282536742,-0.00635785477160441,-0.00567683673815651,-0.456525145816809,0.648021005655605,"C"
"179","aspartate aminotransferase",8763,8727,0.499692883,0.191413382,-1.679021049,0.090280616,0.321934793,0.191425645,-0.947501903,0.085301661,0.177758089,0.012496656,1.16e-45,-0.731519146,0.111454081,5.41e-11,1.037031086,0.833227631,0.818911404,"Physiology","aspartate aminotransferase",0.0173307337396909,0.000114364620043953,0.0171065832032992,0.0175548842760827,1.62058234881799,0.105125269622806,"C"
"180","chloride",6417,6384,0.079712888,0.283569726,-0.440376211,0.112853046,-0.401236617,0.28358666,-0.945540867,0.110396939,0.480949505,0.01563988,2.11e-200,0.505164656,0.143847492,0.000446606,1.112167654,0.902425849,0.86639656,"Physiology","chloride",0.0407433969346083,0.000156263246786684,0.0404371265987991,0.0410496672704175,3.25933359546689,0.00111965801641478,"C"
"181","creatinine",7932,7956,0.174377657,0.220576212,0.024099397,0.019081394,0.077397487,0.220577325,-0.095968275,0.018762654,0.096980169,0.00261312,3.5e-289,0.120067671,0.023182395,2.25e-07,1.187305139,0.163741537,0.16552995,"Physiology","creatinine",-0.0108627642738108,0.000125897303589785,-0.0111095184545975,-0.0106160100930241,-0.968126573436672,0.332995898558522,"C"
"182","fructosamine",4496,4537,0.639123798,0.468080181,0.650638828,0.118850331,0.368491132,0.468049365,1.161224215,0.126241831,0.270632666,0.016191129,8.63e-62,-0.510585387,0.167744414,0.0023426,1.004937817,0.77254471,0.765902166,"Physiology","fructosamine",0.00863644859109032,0.000221463982123975,0.00820238716225451,0.00907051001992613,0.580341515991218,0.561698815327488,"C"
"183","glycerol",2083,2081,0.30393562,0.488571561,1.855189626,0.173175292,0.629724347,0.488776549,3.820026865,0.234894243,-0.325788727,0.02914048,1.3e-28,-1.964837238,0.291888807,1.91e-11,0.680049237,0.873066659,1.002546299,"Physiology","glycerol",-0.138286663405009,0.00048053831375157,-0.139228501193153,-0.137344825616864,-6.30835736664327,3.11433101529701e-10,"C"
"184","iron",7031,7047,0.308696412,0.211004588,1.332201709,0.100815707,-0.437086988,0.210976035,0.708691835,0.093050519,0.745783399,0.013299625,0,0.623509874,0.126129684,7.77e-07,0.811917928,0.827731049,0.747970455,"Physiology","iron",0.101324964547459,0.000142086003418301,0.101046481098052,0.101603447996867,8.50042835179195,0,"C"
"185","lactate dehydrogenase",593,596,0.040188679,0.233735132,-1.630718764,0.497315747,0.235332957,0.234006662,-0.029266771,0.502349418,-0.195144278,0.051637636,0.000165253,-1.601451993,0.705599202,0.023409609,0.562765015,0.867565904,0.912158774,"Physiology","lactate dehydrogenase",-0.0501183317955263,0.00168493072904838,-0.0534207353409059,-0.0468159282501466,-1.22097165401527,0.222339219928585,"C"
"186","ldl-cholesterol",2714,2717,-0.962116157,0.315779213,0.075687341,0.072419193,-1.018228969,0.315860515,2.299666199,0.109019115,0.056112812,0.012583892,8.4e-06,-2.223978858,0.129894116,4.84e-64,0.890288394,0.390926045,0.526459696,"Physiology","ldl-cholesterol",-0.297656175394599,0.000368392081544866,-0.298378210606617,-0.296934140182582,-15.5081414608607,0,"C"
"187","lipase",1274,1282,0.437808472,0.154684022,0.231962662,0.378940649,0.277508557,0.154176877,-0.959890651,0.280791943,0.160299915,0.039042001,4.16e-05,1.191853313,0.471356503,0.011513053,0.316106197,1.054242489,0.913483235,"Physiology","lipase",0.14331519786074,0.000783093039670377,0.141780363706442,0.144850032015038,5.12136307235949,3.25952671076379e-07,"C"
"188","magnesium",2487,2480,0.66947258,0.562020482,-0.004856071,0.018364397,0.546473608,0.562022544,-0.259710179,0.020322433,0.122998972,0.003056222,1.04e-306,0.254854107,0.023667223,9.59e-27,1.375934487,0.106382516,0.108903206,"Physiology","magnesium",-0.0234187971861517,0.000402820538865975,-0.0242083109345621,-0.0226292834377414,-1.16683321290408,0.243333770151007,"C"
"189","microalbumin (calculated)",358,356,-0.506704402,0.178226165,-2.201766315,0.587961732,0.316764691,0.174921765,-0.059474382,0.451775547,-0.823469094,0.067183343,1.84e-31,-2.142291933,0.712450867,0.00273227,0.237873149,1.005776895,0.775105722,"Physiology","microalbumin (calculated)",0.260508225696631,0.00280901092831499,0.255002665444955,0.266013785948308,4.91523998017167,1.10146394494137e-06,"C"
"190","phosphorus",8766,8783,0.204905537,0.176217689,-0.187933558,0.089193457,0.043985952,0.176224056,0.158625502,0.082603523,0.160919584,0.012192094,1.38e-39,-0.34655906,0.108960918,0.00147236,0.953632019,0.819999064,0.794388061,"Physiology","phosphorus",0.0317312255554417,0.000113979704636214,0.0315078294393862,0.0319546216714972,2.97216614234509,0.00296107850572036,"C"
"191","potassium",6389,6344,0.305046657,0.284441265,-0.542656655,0.101885871,0.817960318,0.28444921,0.166704759,0.098223535,-0.512913661,0.014041635,6.89e-278,-0.709361414,0.128974842,3.87e-08,1.118993981,0.815052412,0.768544624,"Physiology","potassium",0.0587532374257636,0.000157098812993897,0.0584453294102815,0.0590611454412456,4.68754392480096,2.79371132805295e-06,"C"
"192","thyroxine",1574,1554,-0.010305841,0.294507113,-0.093513657,0.231723143,-0.507925493,0.294433067,1.311626207,0.241006203,0.497619652,0.034441972,7.52e-46,-1.405139864,0.33443518,2.73e-05,0.396855403,1.0273851,0.894799002,"Physiology","thyroxine",0.138168907470311,0.000639821455837378,0.136914880460334,0.139422934480288,5.46236760363306,5.06638861974551e-08,"C"
"193","total bilirubin",8513,8443,-0.053199789,0.202756507,-0.525151323,0.077358225,-0.206251866,0.202788723,-0.212514206,0.077918306,0.153052077,0.011123307,7.59e-43,-0.312637117,0.09812675,0.001444895,1.101346891,0.702033362,0.744850178,"Physiology","total bilirubin",-0.0592026547564321,0.000117968272671729,-0.0594338683221871,-0.0589714411906771,-5.45077896826625,5.0849857435864e-08,"C"
"194","total cholesterol",9328,9256,-0.125646111,0.127101801,1.910924846,0.069920581,0.74546565,0.127115465,2.317431225,0.06636385,-0.871111761,0.009823727,0,-0.406506379,0.08402925,1.32e-06,0.709591729,0.671133901,0.667577672,"Physiology","total cholesterol",0.00531250836201484,0.00010763265672811,0.00510155223126738,0.0055234644927623,0.512067952429646,0.608609538282993,"C"
"195","triglycerides",9097,9062,-0.392901986,0.138576289,1.436485744,0.078200872,0.347572074,0.138581051,2.230030955,0.07196315,-0.74047406,0.010761691,0,-0.793545232,0.092581017,1.1e-17,0.773006797,0.737256632,0.712348176,"Physiology","triglycerides",0.0343690277956979,0.000110150764528933,0.0341531362643517,0.0345849193270442,3.27471485142388,0.00105966684223047,"C"
"196","uibc (unsaturated iron binding capacity)",1280,1300,-0.554213588,0.332725965,0.538043776,0.383486584,-0.054290557,0.332145824,2.381934796,0.237369262,-0.499923031,0.036948055,2.4e-40,-1.84389102,0.450639538,4.41e-05,0.726680264,1.072390206,0.77839075,"Physiology","uibc (unsaturated iron binding capacity)",0.320422645027125,0.000775841884748056,0.318902022875321,0.321943267178929,11.5036746456434,0,"C"
"197","% pre-pulse inhibition - global",8561,8541,0.058420051,0.09786005,-0.359798216,0.109305088,0.080247695,0.097826823,-0.361724352,0.094782732,-0.021827644,0.013143193,0.096780714,0.001926137,0.133193079,0.988462173,0.461936895,0.874282094,0.843651364,"Behaviour","pre-pulse inhibition",0.0356636153711467,0.000116959224320953,0.0354343795038179,0.0358928512384755,3.29767709433768,0.000976870476958602,"D"
"198","% pre-pulse inhibition - ppi1",6562,6503,-0.056284153,0.096656095,-0.196947933,0.120726888,-0.04519593,0.096636095,-0.292693746,0.107347806,-0.011088223,0.014721173,0.451333728,0.095745812,0.148534016,0.519194347,0.453692553,0.841529097,0.840033653,"Behaviour","pre-pulse inhibition",0.00177794492265868,0.000153107310702378,0.00147786010791224,0.00207802973740513,0.143687946810945,0.88574910586213,"D"
"199","% pre-pulse inhibition - ppi2",8483,8492,-0.017719139,0.076371367,-0.197038092,0.115591475,-0.028616893,0.076394996,-0.246815063,0.104534677,0.010897754,0.014177344,0.442097677,0.049776971,0.143687726,0.729027899,0.353810988,0.915327834,0.931164374,"Behaviour","pre-pulse inhibition",-0.0171534659716246,0.000117834240401734,-0.0173844168389577,-0.0169225151042916,-1.58021482565031,0.11407631166005,"D"
"200","conditioning baseline freeze count",222,268,-0.195084749,0.330252504,-1.372857608,0.85828908,-0.106247311,0.330493476,-1.685858811,0.830439588,-0.088837438,0.086248175,0.303513492,0.313001202,1.195134005,0.793512564,0.458172308,0.913654057,0.987220137,"Behaviour","conditioning freeze count",-0.0770512604038429,0.00413510261494399,-0.0851559126015106,-0.0689466082061753,-1.19822010303353,0.231412937363911,"D"
"201","conditioning baseline freezing time",222,268,-0.295981099,0.587270647,-1.351059837,0.752568759,-0.246441362,0.587578314,-1.273999638,0.757128077,-0.049539738,0.077120804,0.520939467,-0.077060199,1.068301475,0.942525496,0.826699598,0.801079267,0.900082628,"Behaviour","conditioning freezing time",-0.116136881514063,0.00413510261494399,-0.124241533711731,-0.108032229316396,-1.8060385437489,0.0715283190019154,"D"
"202","conditioning post-shock freeze count",287,326,-0.060079102,0.354893427,-2.135027848,0.784966043,-0.154875145,0.354401723,-1.635241929,0.689659461,0.094796042,0.076505657,0.21579682,-0.499785919,1.044817375,0.632574752,0.495445574,0.95434946,0.912929909,"Behaviour","conditioning freeze count",0.0445805971964302,0.00328671328671329,0.0381387575269629,0.0510224368658975,0.777615612850305,0.437096636841425,"D"
"203","conditioning tone freeze count",242,248,0.089053969,0.141096545,-1.428025836,0.852383413,-0.032059577,0.143459046,0.018767167,0.871953559,0.121113546,0.090068616,0.179356823,-1.446793003,1.219256318,0.235958769,0.179556405,0.955091191,1.022002102,"Behaviour","conditioning tone freeze count",-0.0676616063341371,0.00409898029465621,-0.0756954600850026,-0.0596277525832715,-1.05682818897568,0.291112888097683,"D"
"204","conditioning tone freezing time",242,248,0.075904675,0.080043656,-1.962623709,0.88009093,-0.090253544,0.081053834,0.186463689,0.853967219,0.166158218,0.09022367,0.066140355,-2.149087399,1.226236082,0.080304505,0.068954074,0.98614082,1.001311895,"Behaviour","conditioning tone freezing time",-0.0152167530235452,0.00409898029465621,-0.0232506067744107,-0.00718289927267961,-0.237675314129365,0.812232684722601,"D"
"205","context freeze count",291,333,-0.114097745,0.384354916,-1.528745976,0.744688461,-0.113388596,0.384252917,-1.507492334,0.699165187,-0.00070915,0.075056738,0.992464598,-0.021253642,1.02146941,0.983406375,0.538091234,0.921961373,0.929931465,"Behaviour","context freeze count",-0.00838944816370643,0.00323016202742002,-0.0147204494016786,-0.0020584469257343,-0.147611856137717,0.882696933449272,"D"
"206","context freezing time",291,333,-0.196558594,0.701721407,-1.381067057,0.599799331,-0.222971787,0.701661127,-0.644178432,0.557511457,0.026413193,0.060174509,0.660855842,-0.736888625,0.818891153,0.368543893,0.990448659,0.742581421,0.741503016,"Behaviour","context freezing time",0.00167140741137392,0.00323016202742002,-0.00465959382659821,0.00800240864934605,0.0294083169167876,0.97654837295483,"D"
"207","cue baseline freezing time",281,319,-0.049511259,0.14260772,-1.901619075,0.775356585,0.107814027,0.144144884,-1.390551374,0.781571903,-0.157325286,0.080983741,0.052526539,-0.511067701,1.100543566,0.642547153,0.185459066,0.935521406,1.028869228,"Behaviour","cue baseline freezing time",-0.0948982266907436,0.00335804132973944,-0.10147986675563,-0.0883165866258573,-1.63762733388593,0.102025514509972,"D"
"208","hot plate latency",72,72,-0.099774048,0.237916533,-1.73892634,1.992609012,0.182050414,0.225346933,-0.077783422,1.433957001,-0.281824462,0.163421347,0.086835751,-1.661142918,2.459641432,0.500569153,0.283048358,1.084234977,0.863724034,"Behaviour","hot plate latency",0.227376614268098,0.0140845070422535,0.19977148772528,0.254981740810916,1.91590940674074,0.0573863177260634,"D"
"209","latency to center entry",6216,6263,-0.130147345,0.141289226,0.036803871,0.144672105,-0.10493796,0.14132694,-0.041952669,0.139442487,-0.025209385,0.016695088,0.131071787,0.07875654,0.186275807,0.672451892,0.443643389,0.914447595,0.949916744,"Behaviour","latency to center entry",-0.0380535773798898,0.000160297217275253,-0.0383677541525713,-0.0377394006072084,-3.00560911445646,0.0026557641013194,"D"
"210","learning difference",609,585,-0.292584209,0.384275605,-0.653720961,0.428723395,-0.371770006,0.385051439,-0.177490437,0.436205965,0.079185797,0.057117036,0.16589144,-0.476230524,0.610239861,0.435311437,0.535689661,0.931369924,1.03606681,"Behaviour","learning difference",-0.106564166267307,0.00167853280461428,-0.10985403011122,-0.103274302423394,-2.60103547085269,0.00940934924147707,"D"
"211","learning slope",616,593,-0.362192517,0.449701474,-0.895455579,0.451003478,-0.415857874,0.449965937,-0.1235539,0.40639171,0.053665357,0.056189676,0.339731468,-0.771901679,0.605747975,0.202804748,0.629305677,0.979564148,0.972834291,"Behaviour","learning slope",0.00686237894702454,0.0016576027246759,0.00361353730598432,0.0101112205880648,0.168552217508719,0.866177107183245,"D"
"212","shock intensity flinch",72,72,-0.005930513,0.18090802,-3.937796389,2.010398941,-0.041090275,0.162352881,-1.557268616,1.417958716,0.035159763,0.163662428,0.830213953,-2.380527773,2.463979071,0.335656318,0.178440894,1.094186547,0.854548617,"Behaviour","shock intensity flinch",0.247193090529315,0.0140845070422535,0.219587963986497,0.274798217072132,2.08288600369435,0.0390549291493454,"D"
