parameter_name,f_n,m_n,f_intercept,f_intercept_se,f_slope,f_slope_se,m_intercept,m_intercept_se,m_slope,m_slope_se,fm_diff_int,fm_diff_int_se,fm_diff_int_p,fm_diff_slope,fm_diff_slope_se,fm_diff_slope_p,group_sd,f_sd,m_sd,Category,parameter_group,lnVR,VlnVR,low_lnVR,high_lnVR,t_val_sd,p_val_sd
monocytes,1045,1040,-0.113310686,0.130099854,-0.974170243,0.327897269,0.017509884,0.130522801,1.183874297,0.308963242,-0.13082057,0.041520831,0.001651899,-2.15804454,0.403948442,1.02e-7,0.332845941,0.924305551,0.970450901,Hematology,monocytes,-0.048720414753726377,9.601591568668665e-4,-0.05060229212061178,-0.046838537386840975,-1.572314294342835,0.11602955025990447
neutrophil cell count,4605,4569,-0.165842708,0.130080951,0.060366561,0.108094661,0.282860904,0.130189361,0.285307557,0.116430457,-0.448703612,0.014933604,3.05e-189,-0.224940995,0.139931598,0.107977749,0.60368178,0.664305908,0.760996587,Hematology,neutrophils,-0.13588698063598062,2.1805830915323766e-4,-0.13631436706845065,-0.13545959420351059,-9.20219705072513,0
neutrophil differential count,4824,4786,-0.078138831,0.126842477,0.022536486,0.115763105,0.059707737,0.126976749,0.546681454,0.124838724,-0.137846568,0.015937866,6.03e-18,-0.524144968,0.150695921,5.07105e-4,0.626005915,0.723194546,0.83338652,Hematology,neutrophils,-0.14182009987723976,2.0816312293215353e-4,-0.14222809210109616,-0.14141210765338336,-9.829601002165875,0
neutrophils,1086,1076,0.057267608,0.182308002,-0.631149909,0.299724314,0.01758632,0.183094306,-0.047446542,0.309425147,0.039681288,0.03986025,0.31960008,-0.583703368,0.387429752,0.132058858,0.47545009,0.846492603,0.99939117,Hematology,neutrophils,-0.16604908715518193,9.259457721573251e-4,-0.16786390752024744,-0.16423426679011643,-5.456871360496298,5.4010638184109894e-8
platelet count,10074,9980,-0.481904652,0.113496127,0.17726329,0.076595566,0.129838616,0.113522432,-0.350120651,0.078585281,-0.611743268,0.010970532,0,0.527383941,0.097876979,7.2e-8,0.743337078,0.75120606,0.800291662,Hematology,platelet count,-0.06329671134730677,9.974286615413664e-5,-0.06349220377268368,-0.06310121892192987,-6.33782472574561,2.3799606729824063e-10
red blood cell count,10127,10027,-0.376679471,0.118264871,-0.192610092,0.076518501,-0.161436373,0.118407519,-0.023627394,0.091322298,-0.215243098,0.012066834,1.26e-70,-0.168982698,0.106978841,0.114216543,0.774125237,0.741082706,0.95628043,Hematology,red blood cell count,-0.2549394662517577,9.924817634923445e-5,-0.25513398910293345,-0.2547449434005819,-25.59032517460981,0
red blood cell distribution width,7897,7820,0.185287887,0.205442876,-0.297129595,0.030650437,0.28461068899999997,0.205451614,0.020540403,0.038979177,-0.099322802,0.004641084,3.54e-100,-0.317669998,0.048022385,3.83e-11,1.179282332,0.258157722,0.319675475,Hematology,red blood cell distribution width,-0.21373624045522427,1.2726999788658107e-4,-0.21398568506739446,-0.21348679584305408,-18.945895938493493,0
white blood cell count,9757,9631,-0.354629879,0.111150909,-0.235512953,0.084280774,0.272033586,0.111116277,-0.166350305,0.07919035,-0.626663465,0.011522969,0,-0.069162648,0.102922578,0.501599916,0.683963095,0.821375868,0.781815384,Hematology,white blood cell count,0.04936152058241766,1.0317159246358819e-4,0.049159307976961386,0.04956373318787394,4.859688838792433,1.184893576589019e-6
b cells,787,782,-0.038767568,0.20799211,-0.397292948,0.370564198,-0.005589255,0.208290239,-0.222602646,0.33774689,-0.033178313,0.046122859,0.472035251,-0.174690299,0.439945924,0.69136853,0.501463356,0.894799038,0.931020377,Immunology,B cells,-0.039686082290810304,0.0012763371810786068,-0.04218765719785375,-0.03718450738376686,-1.1108502526315227,0.2668032302187979
b1b cells,778,773,-3.00663e-4,0.242112664,-0.959489476,0.366246255,-0.099846968,0.242298284,-0.178499943,0.33077034,0.099546305,0.045381094,0.028415646,-0.78098953,0.43381853,0.072013733,0.586313915,0.882095332,0.904264242,Immunology,B cells,-0.024825652193873227,0.001291169037283027,-0.027356297004901213,-0.02229500738284524,-0.6908903316238747,0.48973797947790354
b2b cells,778,773,-0.040871569,0.20664793,-0.490666754,0.367095964,-0.00790286,0.207050328,-0.294511073,0.34048902,-0.032968709,0.046176671,0.475354444,-0.196155677,0.440474713,0.656145321,0.498236499,0.881384978,0.935534733,Immunology,B cells,-0.05962793159187886,0.001291169037283027,-0.06215857640290685,-0.057097286780850874,-1.6594271566297798,0.0972321735266628
cd24+ cd4 t cells,110,105,0.03955135,0.102243333,-0.225125396,1.709076546,-0.041634667,0.091876087,-0.711546667,1.178080569,0.081186017,0.13676425,0.55340504,0.486421271,2.075573238,0.814937604,0.012819285,1.067616535,0.935867294,Immunology,cd4 t,0.13148968256519233,0.00939484827099506,0.11307611831382362,0.14990324681656103,1.3565843158383917,0.17634940705781998
cd24+ cd8 t cells,110,105,0.046294438,0.109104471,1.345586831,1.742490734,-0.038024244,0.0952258,-0.601741563,1.143339372,0.084318682,0.136391576,0.537106601,1.947328394,2.081986927,0.350696621,0.045663206,1.087737841,0.906933243,Immunology,cd4 t,0.1815660616521388,0.00939484827099506,0.1631524974007701,0.19997962590350749,1.87322432240049,0.062407113154175686
cd4 cd25- nkt cells,576,569,0.099252149,0.097523664,0.653164626,0.535152677,-0.20239873,0.095864893,0.418116745,0.426447724,0.301650879,0.058030661,2.38e-7,0.235047881,0.670082171,0.725822292,0.168014877,1.029643096,0.932064096,Immunology,cd4 nkt,0.09955521111198562,0.0017498469075321495,0.09612557419476382,0.10298484802920742,2.3799288326294366,0.01747924450808247
cd4 cd25- t cells,722,713,-0.14814857,0.144655994,-0.619200227,0.40726021,-0.194358914,0.145121451,-0.090590485,0.370578436,0.046210346,0.050565937,0.36094325,-0.528609734,0.496209346,0.28692243,0.340180291,0.939752645,0.9744769,Immunology,cd4 t,-0.0362928830991666,0.001395728467016784,-0.03902846062671679,-0.0335573055716164,-0.9714512281078432,0.331487570128683
cd4 cd25+ nkt cells,611,607,-0.054511251,0.342756818,-0.177400613,0.409581107,-0.163400888,0.342804467,0.384021508,0.37600801700000003,0.108889636,0.049585613,0.028281572,-0.56142212,0.533065676,0.292461708,0.681246685,0.860410559,0.869965764,Immunology,cd4 nkt,-0.011049600010045995,0.001644754639398366,-0.014273259866671956,-0.007825940153420034,-0.2724557620321058,0.7853178584331457
cd4 cd25+ t cells,722,713,-0.310508969,0.249545728,-0.379957804,0.357220553,-0.281503325,0.249642678,0.077595265,0.317798042,-0.029005643,0.043595461,0.505943009,-0.457553069,0.428674507,0.285986759,0.605039923,0.822074001,0.828637337,Immunology,cd4 t,-0.00796093833429834,0.001395728467016784,-0.010696515861848537,-0.005225360806748143,-0.2130903543985052,0.8312867978151304
cd4 cd44-cd62l- t cells,447,444,0.076475067,0.56283314,-0.163533465,0.454865929,0.071697889,0.562867492,0.938385633,0.411044199,0.004777178,0.05747277,0.933774351,-1.101919098,0.588037017,0.061274326,0.971341225,0.853921062,0.861396259,Immunology,cd4 t,-0.008723465357755785,0.0022497444047414185,-0.013132883365469465,-0.0043140473500421035,-0.1839172440695913,0.8541203178950119
cd4 cd44-cd62l+ nkt cells,669,658,-0.43683781,0.316864297,0.530415949,0.362821642,-0.505603581,0.316618868,0.082805529,0.307839699,0.068765771,0.042981637,0.109863273,0.44761042,0.434874394,0.303533829,0.77044932,0.813828283,0.749342679,Immunology,cd4 nkt,0.08254046294666095,0.0015095380016223261,0.07958182283018662,0.08549910306313528,2.124441981949747,0.033817934755336454
cd4 cd44-cd62l+ t cells,612,608,-0.213160051,0.28420394,-0.520142047,0.392914745,-0.209094583,0.284302253,-0.452452173,0.364470954,-0.004065468,0.047834207,0.93228272,-0.067689874,0.513585519,0.895165417,0.563665517,0.825350823,0.845116381,Immunology,cd4 t,-0.023671203545144077,0.0016420538345597057,-0.026889569921556992,-0.020452837168731162,-0.5841530441241722,0.5592255196425722
cd4 cd44+cd62l- nkt cells,722,713,0.223463927,0.218308441,0.326575526,0.409951974,-0.078020068,0.218098211,0.083097052,0.346648064,0.301483995,0.048847818,8.78e-10,0.243478474,0.482329678,0.613779566,0.525380573,0.950479448,0.898779847,Immunology,cd4 nkt,0.05591965553424756,0.001395728467016784,0.05318407800669737,0.058655233061797755,1.4968008437268459,0.134665297161777
cd4 cd44+cd62l- t cells,722,713,-0.122758856,0.136869154,-0.315991404,0.414516469,-0.193880346,0.137162015,0.279892431,0.370617175,0.071121489,0.051047338,0.163762605,-0.595883835,0.501650382,0.235091553,0.319734955,0.959463961,0.973397422,Immunology,cd4 t,-0.01442646030736072,0.001395728467016784,-0.017162037834910916,-0.011690882779810525,-0.38615291445821914,0.6994407467547841
cd4 cd44+cd62l+ nkt cells,721,713,-0.206064777,0.323581031,0.314897784,0.353293867,-0.271871354,0.323461411,0.179910017,0.297336256,0.065806577,0.041925785,0.116730957,0.134987767,0.414084705,0.744479249,0.787943687,0.817705478,0.768797925,Immunology,cd4 nkt,0.06166625903639469,0.0013966916354556805,0.05892879373339321,0.06440372433939617,1.6500508826658629,0.09915183106279479
cd4 cd44+cd62l+ t cells,675,670,-0.037097129,0.40604806,-0.259891617,0.316979147,-0.044010454,0.406127952,-0.193964776,0.282558948,0.006913325,0.038283805,0.85672391,-0.065926841,0.378576287,0.86177857,0.991652428,0.691242563,0.7119667,Immunology,cd4 t,-0.029545891039839265,0.0014892239180671805,-0.03246471628416657,-0.026627065795511964,-0.7656267355849267,0.4440329622161361
cd4 nkt cells,725,716,0.219142675,0.192356229,0.322699363,0.418810965,-0.082567535,0.192046085,0.273953564,0.351503083,0.30171021,0.04968601,1.61e-9,0.048745802,0.491803432,0.921059696,0.460067728,0.973266477,0.911444684,Immunology,cd4 nkt,0.06561831775972764,0.001389908434107329,0.06289414728706881,0.06834248823238646,1.760078334868587,0.078606960344632
cd4 t cells,725,716,-0.116849368,0.11380273,-0.459725025,0.411904663,-0.151802518,0.114437959,0.002989767,0.375883866,0.03495315,0.05137717,0.496408962,-0.462714793,0.504940668,0.359624757,0.260136482,0.955354836,0.993624709,Immunology,cd4 t,-0.03928544449887271,0.001389908434107329,-0.042009614971531536,-0.03656127402621388,-1.0537523987026876,0.29217319076559645
cd44+ t-regs,108,105,0.034162526,0.090960719,-1.15120648,1.530759618,-0.035020045,0.103839348,0.778949103,1.337870046,0.069182571,0.137890395,0.616394106,-1.930155582,2.032962238,0.343503723,0.00608024,0.9441179,1.062926085,Immunology,cd44+ t-regs,-0.11866458428428929,0.00948058950395399,-0.13724619826424755,-0.10008297030433101,-1.2187186320886596,0.22431181543601508
cd62l+ t-regs,110,105,-0.015107015,0.114968185,-1.780973199,1.635666442,0.045997483,0.114622157,1.021147996,1.238401528,-0.061104498,0.136532098,0.65494164,-2.802121195,2.04626165,0.172341436,0.083737777,1.019640402,0.98057858,Immunology,cd62l+ t-regs,0.03884197550634627,0.00939484827099506,0.02042841125497756,0.05725553975771498,0.40073421534015435,0.6890174891145664
cd8 cd25- nkt cells,610,606,-0.188518939,0.328648541,-0.135805063,0.427755873,-0.162440584,0.328632496,0.575171945,0.386663287,-0.026078355,0.051459065,0.612402554,-0.710977008,0.552560852,0.198447105,0.652445125,0.899290545,0.895018829,Immunology,cd8 nkt,0.0047559848713157275,0.0016474643433891083,0.0015270140924591477,0.007984955650172307,0.11717432289300489,0.906741295687588
cd8 cd25- t cells,612,608,-0.110063678,0.228339148,-0.511919442,0.442470892,-0.146882901,0.228663064,0.025184728,0.420012145,0.036819223,0.054560054,0.499907002,-0.53710417,0.585031783,0.358761112,0.449146478,0.929100674,0.975732959,Immunology,cd8 t,-0.0489772329369537,0.0016420538345597057,-0.05219559931336661,-0.04575886656054078,-1.2086499809076792,0.22703193262410237
cd8 cd25+ nkt cells,564,566,-0.046132655,0.306250536,0.227122556,0.439774039,0.018904859,0.30621976,0.664956896,0.398875236,-0.065037514,0.053208838,0.221848186,-0.43783434,0.570121814,0.442668654,0.606781994,0.896063827,0.892447223,Immunology,cd8 nkt,0.004047411632043647,0.0017730552193527091,5.722872595115727e-4,0.0075225360045757216,0.09612054948420101,0.9234419044020634
cd8 cd25+ t cells,571,570,-0.667922777,0.633702104,0.274109107,0.360478578,-0.650600881,0.633621536,0.452527904,0.311818235,-0.017321897,0.040631138,0.669955056,-0.178418796,0.461994949,0.699426853,1.265328364,0.699822186,0.671898397,Immunology,cd8 t,0.04071760698360574,0.0017559276046002527,0.03727605211912956,0.044159161848081926,0.9716927065546975,0.3314097476981295
cd8 cd44-cd62l- t cells,595,586,0.300880653,0.291179766,-0.738612753,0.382659994,0.235867529,0.291471018,0.109361601,0.352994974,0.065013124,0.049668888,0.190814251,-0.847974354,0.467292082,0.069832138,0.64466492,0.832035601,0.873192235,Immunology,cd8 t,-0.04829345250096141,0.0016964516964516965,-0.05161843672751861,-0.04496846827440421,-1.1725125639575007,0.24122818354272635
cd8 cd44-cd62l+ nkt cells,693,675,-0.377182091,0.324007596,0.60084521,0.333004511,-0.40769942,0.32414094,0.102149024,0.301424483,0.030517328,0.040909658,0.455815278,0.498696186,0.404083319,0.217363376,0.789283551,0.750077055,0.761689518,Immunology,cd8 nkt,-0.015382371117745156,0.0014643831152124321,-0.018252509283130092,-0.012512232952360222,-0.4019721166227307,0.6877674315124804
cd8 cd44-cd62l+ t cells,722,713,-0.262486782,0.270932354,-0.616182862,0.36995704,-0.303406801,0.270926356,-0.324866246,0.322113546,0.040920019,0.044651631,0.359597244,-0.291316616,0.439852491,0.50788263,0.657512382,0.85352488,0.837253512,Immunology,cd8 t,0.0192390201006555,0.001395728467016784,0.016503442573105303,0.021974597628205698,0.5149706528771876,0.6066529494861888
cd8 cd44+cd62l- nkt cells,715,705,0.105234085,0.130023904,-0.478984182,0.43040476,0.100193635,0.129754418,0.099654083,0.365512854,0.005040449,0.051825918,0.922535875,-0.578638266,0.51007196,0.256809098,0.300952977,0.997627647,0.954389876,Immunology,cd8 nkt,0.0442978973177688,0.0014105073847720906,0.04153335364368772,0.04706244099184988,1.1794931688859012,0.23839970585722048
cd8 cd44+cd62l- t cells,722,713,0.113534465,0.204524482,-0.111085479,0.405734526,0.116252753,0.204636,0.397907062,0.359067726,-0.002718289,0.049464842,0.956182847,-0.508992541,0.486578871,0.295708857,0.491152615,0.935848507,0.937171106,Immunology,cd8 t,-0.0014210300585802294,0.001395728467016784,-0.004156607586130426,0.0013145474689699671,-0.03803669694176554,0.9696637212649926
cd8 cd44+cd62l+ nkt cells,720,710,-0.26127991,0.288274459,-0.08714984,0.362718191,-0.180706898,0.28829912,0.129938682,0.317641702,-0.080573012,0.043954489,0.066996675,-0.217088522,0.432197347,0.615541178,0.700583176,0.835609952,0.825901932,Immunology,cd8 nkt,0.011676091210384725,0.001400628909843832,0.008930908991385217,0.014421273429384233,0.31198659611030394,0.7550962560248111
cd8 cd44+cd62l+ t cells,722,713,-0.174673308,0.190051489,0.249346384,0.403249357,-0.123561819,0.190080231,0.623024682,0.352896921,-0.051111489,0.048906987,0.296165242,-0.373678298,0.481532529,0.437866565,0.45507602,0.931815806,0.920128899,Immunology,cd8 t,0.012612628353763733,0.001395728467016784,0.009877050826213537,0.015348205881313928,0.33760209323830054,0.7357125096780854
cd8 nkt cells,723,714,-0.201627598,0.226616558,0.10845526900000001,0.386033025,-0.149149392,0.226695476,0.319726355,0.341011503,-0.052478206,0.046940585,0.26376748,-0.211271087,0.462140266,0.647627072,0.547087367,0.889860388,0.888821659,Immunology,cd8 nkt,0.0011592346686219554,0.0013937830477130301,-0.0015725299071580549,0.0038909992444019657,0.031050869921503504,0.9752332887852657
cd8 t cells,725,716,-0.151523056,0.172992007,-0.474816329,0.400458629,-0.187581904,0.173364099,-0.066256468,0.364350822,0.036058847,0.049507294,0.466515857,-0.408559861,0.486772418,0.40142751,0.412374282,0.922263073,0.955798956,Immunology,cd8 t,-0.035725775337709556,0.001389908434107329,-0.03844994581036838,-0.03300160486505073,-0.9582714905696184,0.338086845804783
cdcs,785,780,-0.091754202000000007,0.222143408,-0.55647799,0.358926951,0.073529063,0.222433325,-0.296215041,0.328554297,-0.165283265,0.044806814,2.33069e-4,-0.260262949,0.426709559,0.541997258,0.537104304,0.865531856,0.905797083,Immunology,cdcs,-0.045475223771769865,0.0012796036257892115,-0.04798320079280359,-0.04296724675073614,-1.2712679959089594,0.20382247364667339
cdcs cd11b type,785,780,-0.065534096,0.230762514,-0.752436254,0.366991287,0.136344408,0.230861996,-0.420927862,0.325446556,-0.201878504,0.045057333,7.99e-6,-0.331508392,0.43020642,0.441073001,0.558169937,0.889260353,0.892542924,Immunology,cdcs,-0.0036886468805944813,0.0012796036257892115,-0.0061966239016282045,-0.0011806698595607586,-0.10311678181164183,0.9178835142406547
cellularity,10,10,1.924810506,2.016836394,14.62134465,3.588163313,1.182853638,2.06165405,15.52060053,11.22406305,0.741956868,0.463342072,0.130152649,-0.899255876,10.57519109,0.933358571,2.80811164,0.399358821,1.409741569,Immunology,cellularity,-1.2613013686633203,0.1111111111111111,-1.4790751447233264,-1.0435275926033143,-3.783904105989961,0.0013592805973909883
dn cd25- nkt cells,600,592,-0.213974436,0.400546279,0.959031017,0.413670263,-0.33335208,0.400370571,-0.194001912,0.350504728,0.119377644,0.047849722,0.012736514,1.153032928,0.522925218,0.027647936,0.797407785,0.854634579,0.796690282,Immunology,dn nkt,0.07019668695219458,0.001680748229564785,0.06690248095516814,0.07349089294922102,1.7122425455900292,0.08711250607914645
dn cd25- t cells,607,603,-0.072336542,0.362316975,-0.302062116,0.387528665,-0.391180062,0.362629712,-0.17352685,0.383172041,0.318843521,0.048946683,1.07e-10,-0.128535267,0.522052004,0.805560428,0.720996701,0.81016188,0.890174029,Immunology,dn t,-0.09418838453851724,0.0016556472923039813,-0.09743339360253431,-0.09094337547450018,-2.3147998023537486,0.02079087288588255
dn cd25+ nkt cells,541,534,-0.16860635400000001,0.301477433,-1.220854573,0.43852261,-0.186299803,0.301547949,0.281015138,0.40942007,0.017693449,0.052187596,0.734649619,-1.501869711,0.581994061,0.009996607,0.596762112,0.846269169,0.863707205,Immunology,dn nkt,-0.020408512977753944,0.0018640122298658884,-0.02406190981503328,-0.016755116140474608,-0.4727015030286882,0.6365222866540536
dn cd25+ t cells,607,603,-0.206389248,0.333044331,-0.015718292,0.373589561,-0.232498618,0.333335151,0.022444955,0.3670397,0.02610937,0.04702245,0.578824651,-0.038163247,0.501704333,0.939378278,0.66241213,0.781318493,0.852451007,Immunology,dn t,-0.0871383517395706,0.0016556472923039813,-0.09038336080358766,-0.08389334267555354,-2.141536245392375,0.03243038560654421
dn cd44-cd62l- t cells,590,580,-0.099285082,0.239792016,-0.074529192,0.395556819,-0.394610533,0.240218573,0.733156237,0.366828472,0.295325451,0.051722929,1.44e-8,-0.807685429,0.484587964,0.095834254,0.527824356,0.858838309,0.908337176,Immunology,dn t,-0.05604963770101767,0.0017124542930114857,-0.05940598644049118,-0.052693288961544155,-1.3544510537471497,0.17585447229889262
dn cd44-cd62l+ nkt cells,621,582,-0.130418659,0.254909665,0.629078732,0.412307828,-0.32508981,0.254976965,0.547867901,0.36281236,0.194671151,0.049004927,7.54e-5,0.081210831,0.498395649,0.870589704,0.616075707,0.870065962,0.82780894,Immunology,dn nkt,0.04973251461394304,0.0016670368108378214,0.0464651825037984,0.05299984672408768,1.2180575947298928,0.22344132305261222
dn cd44-cd62l+ t cells,717,708,-0.254933235,0.260886771,-0.191009882,0.326968638,-0.586221326,0.261007307,-0.298628904,0.293852685,0.33128809,0.040199201,3.84e-16,0.107619022,0.393876727,0.784716101,0.634056605,0.750221865,0.766433632,Immunology,dn t,-0.02138801555549395,0.001405537600847076,-0.02414281863207105,-0.018633212478916847,-0.5704916038694144,0.5684343826132159
dn cd44+cd62l- nkt cells,717,708,0.089255133,0.251550741,0.04341033,0.388037677,-0.110658618,0.251691443,-0.278784856,0.346647821,0.199913751,0.047591804,2.83e-5,0.322195185,0.466538149,0.489924824,0.608882009,0.891637715,0.904038172,Immunology,dn nkt,-0.01382057374458532,0.001405537600847076,-0.016575376821162422,-0.011065770668008217,-0.36864202111161726,0.7124494059508635
dn cd44+cd62l- t cells,717,708,-0.320104374,0.396866127,-0.337667567,0.265645426,-0.521248342,0.396964593,0.214082443,0.244960105,0.201143968,0.033079349,1.54e-9,-0.551750008,0.323416851,0.088226874,0.969959467,0.606955983,0.640565312,Immunology,dn t,-0.053903703250627245,0.001405537600847076,-0.056658506327204344,-0.051148900174050146,-1.4377963229997806,0.15071171690360607
dn cd44+cd62l+ nkt cells,717,708,-0.188372383,0.328493049,-0.266717613,0.334572028,-0.223009955,0.328527649,-0.560788724,0.294713323,0.034637572,0.040690874,0.39478171,0.294071111,0.39937446,0.461652291,0.800506586,0.769234202,0.766173191,Immunology,dn nkt,0.003978345452996392,0.001405537600847076,0.0012235423764192892,0.006733148529573494,0.10611609442389373,0.9155051984434637
dn cd44+cd62l+ t cells,717,708,-0.334673811,0.391080639,-0.255664192,0.280488286,-0.524056316,0.391154003,-0.338911067,0.253868049,0.189382505,0.034581168,5.13e-8,0.083246874,0.338635744,0.805849346,0.955506511,0.642403833,0.662174004,Immunology,dn t,-0.030320127574502004,0.001405537600847076,-0.03307493065107911,-0.0275653244979249,-0.8087416134808132,0.41879897646345476
dn nkt cells,781,772,-0.021086797,0.29322601,-0.022109555,0.349834512,-0.169176726,0.293378502,-0.265571426,0.31609227,0.148089929,0.043266499,6.36136e-4,0.243461868,0.412867167,0.555487657,0.713238066,0.839772868,0.864311657,Immunology,dn nkt,-0.028809440636431673,0.001289534071635239,-0.031336880973674035,-0.026282000299189312,-0.8022660520828672,0.42252198024123633
dn t cells,723,714,0.019035807,0.251099927,-0.29328387,0.362260407,-0.296554826,0.251530275,-0.178928689,0.343106044,0.315590633,0.04570257,7.52e-12,-0.114355181,0.447333305,0.798267552,0.608686311,0.827406735,0.902275733,Immunology,dn t,-0.08663251158190118,0.0013937830477130301,-0.08936427615768118,-0.08390074700612117,-2.3205093161167483,0.02045295710947226
dp t cells,593,584,-0.3521025,0.421181484,-0.084891047,0.337079839,-0.360555077,0.421053875,0.162654945,0.276289664,0.008452577,0.040848779,0.836105557,-0.247545991,0.391959856,0.527798198,0.93846562,0.729306474,0.67055374,Immunology,dp t,0.08397715996523122,0.0017022275276992258,0.08064085531744808,0.08731346461301437,2.0354122237226746,0.04203343422749617
follicular b cells,471,460,-0.539637285,0.603222058,-0.691203319,0.465929688,-0.531218039,0.603649587,-0.522113084,0.44914625,-0.008419246,0.059298505,0.887126199,-0.169090235,0.567653015,0.765864807,1.342463283,0.845786668,0.957718635,Immunology,follicular b cells,-0.12431236692388387,0.002153154405970426,-0.12853247201273962,-0.1200922618350281,-2.67902488756408,0.007514194894717718
follicular b cells (cd21/35+),497,500,-0.027196286,0.164028752,-0.26310463,0.531838485,-0.047161134,0.165048177,0.357344365,0.50959322,0.019964848,0.062096553,0.747889479,-0.620448995,0.709919833,0.382346053,0.270278207,0.934783422,1.024137306,Immunology,follicular b cells,-0.09128495576024995,0.0020100685241450644,-0.09522461767403186,-0.08734529384646804,-2.0360750304267925,0.04200726120794607
gd t cells,110,105,0.352030658,0.265786292,0.30152927,1.500372056,-0.17050061,0.267921231,-0.382340889,1.203754933,0.522531268,0.128626685,6.86e-5,0.683870158,1.911304993,0.720850306,0.352655673,0.932156073,0.948971601,Immunology,t cells,-0.018099148356036075,0.00939484827099506,-0.03651271260740478,3.1441589533263634e-4,-0.18672963772391352,0.8520503487341466
klrg1+ cd4 t cells,110,105,0.305913138,0.48901469,-0.010643602,1.412982389,0.074427787,0.490112166,1.149472143,1.136641921,0.231485351,0.121268539,0.057642859,-1.160115744,1.801145733,0.520214253,0.680597546,0.877557207,0.895661944,Immunology,klrg1,-0.020641437105499105,0.00939484827099506,-0.03905500135686782,-0.0022278728541303937,-0.21295853246737767,0.8315629854276811
klrg1+ cd4+ nkt cells,109,105,0.241361919,0.317326609,2.315089813,1.553886947,-0.009375555,0.317414041,1.117708737,1.170754821,0.250737473,0.129320866,0.053862592,1.197381076,1.93280257,0.53625841,0.427995556,0.965071618,0.922248833,Immunology,klrg1,0.045209180358715795,0.009437321937321937,0.026712369251055034,0.06370599146637655,0.4653741415609011,0.6421412403573026
klrg1+ t-regs,110,105,0.07007332,0.166221704,-2.660609109,1.568087716,0.025200696,0.170318051,1.477778406,1.27167717,0.044872623,0.13529815,0.740478776,-4.138387515,2.008211866,0.040560819,0.192210062,0.975093895,1.003921369,Immunology,klrg1,-0.029355746874831324,0.00939484827099506,-0.04776931112620003,-0.010942182623462613,-0.3028644150112205,0.7622887673382914
mzb,177,171,-0.699250032,0.614827109,-2.155378923,1.1414939,-0.592933465,0.61417249,0.281100699,0.839863455,-0.106316567,0.101604602,0.296126661,-2.436479624,1.355075203,0.073052466,1.032108027,1.004568531,0.886419951,Immunology,mzb,0.12502231490336288,0.005782085561497326,0.11368963544729907,0.1363549943594267,1.6441645459613619,0.10105046961822794
mzb (cd21/35 high),451,453,-0.394692548,0.453905883,-0.286285958,0.538393512,-0.388397312,0.453868599,0.584319547,0.438540733,-0.006295236,0.054067451,0.90733541,-0.870605505,0.689751267,0.207203774,0.732195961,0.817324618,0.808237627,Immunology,mzb,0.011185153513788692,0.002217305801376598,0.0068393140003788384,0.015530993027198545,0.23753584332835168,0.8122950576187185
nk cells (panel a),786,777,-0.128216165,0.250890489,-0.355585875,0.359112053,-0.045129278,0.250838001,0.114548222,0.309796597,-0.083086886,0.043310697,0.055244396,-0.470134096,0.415904356,0.258486388,0.608364725,0.869940848,0.841621377,Immunology,nk cells,0.033087589222187644,0.0012812725720664521,0.030576341126558396,0.03559883731781689,0.9243668467178043,0.3554382160445435
nk cells (panel b),732,723,0.093335064,0.214837699,-0.428893237,0.414050688,0.153967292,0.215195897,-0.13552336,0.368556969,-0.060632229,0.049399668,0.219879088,-0.293369876,0.481968638,0.542825011,0.514679557,0.920508123,0.962388232,Immunology,nk cells,-0.044500637883295016,0.0013765153036670442,-0.047198558302650635,-0.0418027174639394,-1.1994322290393395,0.23055547331841897
nk klrg1+ cells,110,105,0.090768563,0.09656308,0.822590417,1.613061926,-0.095703982,0.097327739,1.17696081,1.248603116,0.186472545,0.136387437,0.173015918,-0.354370393,2.039643285,0.862236096,0.012991138,1.00762744,0.991902317,Immunology,nk cells,0.015508609122053554,0.00939484827099506,-0.0029049551293151565,0.033922173373422265,0.1600029408011925,0.8730303881666721
nk subsets (q1),640,634,-0.245358897,0.214000241,-0.154252753,0.378254543,-0.205501419,0.21420764,0.162922773,0.345048452,-0.039857478,0.046117142,0.387605636,-0.317175526,0.481359324,0.510069407,0.512759922,0.815317771,0.830278028,Immunology,nk cells,-0.018190094679648734,0.0015723620289403615,-0.021271867627030167,-0.0151083217322673,-0.45873162962173386,0.6465052669621265
nk subsets (q2),640,634,-0.110170698,0.241425686,-1.506611629,0.39314616,-0.203687675,0.241990923,-0.501915452,0.381244616,0.093516978,0.049512973,0.059155693,-1.004696177,0.514814339,0.051209726,0.580178075,0.843480785,0.921355505,Immunology,nk cells,-0.08831625584957255,0.0015723620289403615,-0.09139802879695398,-0.08523448290219111,-2.22722644832032,0.026106593437753567
nk subsets (q3),575,566,0.149178479,0.222218625,0.563506819,0.490555904,0.395221026,0.223123339,-0.012638784,0.459649586,-0.246042563,0.05713252,1.8e-5,0.576145584,0.643804012,0.371026323,0.498551545,0.919056119,1.007680803,Immunology,nk cells,-0.09207342462550863,0.0017560358915852117,-0.09551519172857532,-0.08863165752244194,-2.1971899441373557,0.028207703827370256
